Jour;Temp_Mini_Record_Absolu;Temp_Mini_Record_Absolu_Annee;Temp_Mini_Moyenne;Temp_Mini_La_Plus_Haute;Temp_Mini_La_Plus_Haute_Annee;Temp_Maxi_La_Plus_Basse;Temp_Maxi_La_Plus_Basse_Annee;Temp_Maxi_Moyenne;Temp_Maxi_Record_Absolu;Temp_Maxi_Record_Absolu_Annee
1 janvier;-17.0;1971;1.8;11.4;2012;-8.9;1997;6.4;14.3;2022
2 janvier;-14.0;1979;1.8;10.2;2022;-7.3;1997;6.4;13.9;2003
3 janvier;-10.8;1997;1.9;10.8;1948;-5.2;1997;6.5;13.1;1948
4 janvier;-10.0;1979;1.9;9.1;1948;-3.6;1979;6.5;13.4;1999
5 janvier;-14.9;1985;1.9;11.2;1957;-9.4;1985;6.5;13.4;1999
6 janvier;-15.5;1985;1.9;8.6;1983;-5.8;1979;6.5;14.7;2014
7 janvier;-11.0;1979;1.9;8.9;2014;-8.5;1985;6.6;13.5;2005
8 janvier;-19.0;1985;1.9;9.0;1911;-5.8;1985;6.7;13.4;2007
9 janvier;-11.1;1985;1.9;11.0;2020;-3.9;1982;6.7;14.5;2015
10 janvier;-15.8;1985;2.0;10.3;1993;-6.9;1963;6.7;13.2;2007
11 janvier;-10.8;1963;2.0;9.6;1993;-7.6;1987;6.7;13.0;1946
12 janvier;-13.3;1987;2.0;7.8;1976;-8.4;1987;6.7;13.2;1974
13 janvier;-19.2;1982;2.0;11.0;2011;-7.8;1987;6.7;14.2;1993
14 janvier;-19.5;1982;2.0;9.4;2011;-6.9;1987;6.7;13.9;1996
15 janvier;-14.0;1982;2.0;10.0;1974;-9.5;1985;6.7;13.6;1975
16 janvier;-17.8;1985;2.0;9.6;1990;-11.3;1985;6.7;14.1;1993
17 janvier;-18.6;1985;2.0;7.1;1968;-8.3;2013;6.7;10.8;1993
18 janvier;-16.0;1963;2.0;8.2;1974;-9.0;1963;6.7;15.2;2007
19 janvier;-16.6;1966;1.9;8.8;1986;-4.2;1966;6.7;13.7;2007
20 janvier;-8.8;1966;1.8;11.0;2008;-3.0;1950;6.6;13.3;2007
21 janvier;-10.8;1963;1.7;9.0;2008;-4.4;1963;6.5;12.6;1993
22 janvier;-13.8;1963;1.7;8.1;1993;-6.0;1963;6.5;13.3;1995
23 janvier;-11.2;1963;1.6;8.8;1969;-4.6;1963;6.5;12.9;2024
24 janvier;-13.0;1945;1.6;9.8;2024;-3.6;1963;6.4;13.2;1960
25 janvier;-17.6;1945;1.6;8.0;1962;-7.0;1945;6.4;13.1;1990
26 janvier;-16.3;1945;1.5;8.2;1983;-6.1;1996;6.2;12.4;2002
27 janvier;-10.2;1954;1.3;10.5;2002;-4.8;1947;6.1;13.5;2003
28 janvier;-12.3;1952;1.3;10.9;2002;-5.2;1947;6.2;13.9;2002
29 janvier;-13.1;1947;1.2;8.4;1993;-3.3;1945;6.2;12.4;1967
30 janvier;-12.2;1947;1.3;9.7;2000;-4.8;1972;6.3;13.1;2013
31 janvier;-11.2;1954;1.3;9.5;1990;-5.5;1954;6.4;12.9;2020
1 février;-14.3;1956;1.5;10.6;2016;-10.2;1956;6.5;15.6;1957
2 février;-15.6;1956;1.5;10.5;2004;-8.7;1956;6.6;14.5;2002
3 février;-11.7;1956;1.5;9.5;2004;-2.1;1954;6.6;16.6;2004
4 février;-9.3;1954;1.5;11.3;2004;-3.5;1954;6.7;16.1;2004
5 février;-10.4;1954;1.6;11.7;2004;-3.1;1954;6.8;14.4;2004
6 février;-12.5;1963;1.6;10.1;2004;-4.6;1991;7.0;14.0;2004
7 février;-12.7;1991;1.7;8.7;2001;-6.1;1991;7.0;14.4;1990
8 février;-11.3;1953;1.7;9.8;1946;-5.7;1991;7.1;13.6;1966
9 février;-8.8;1986;1.7;10.1;2024;-5.8;1986;7.2;14.0;2020
10 février;-10.8;1986;1.7;8.5;1958;-5.1;1985;7.2;14.7;1958
11 février;-10.6;1956;1.7;10.1;2011;-5.3;1956;7.2;15.0;2011
12 février;-10.5;1985;1.6;11.3;2002;-4.0;1947;7.2;15.0;1998
13 février;-11.4;1985;1.6;8.1;2002;-3.0;1947;7.2;16.8;1998
14 février;-13.3;1956;1.6;11.0;1958;-2.5;1969;7.2;16.5;1998
15 février;-9.6;1956;1.6;12.1;2024;-3.5;1985;7.2;16.5;1998
16 février;-9.1;1985;1.6;10.0;2024;-4.1;1947;7.3;16.5;2020
17 février;-9.4;1956;1.7;9.6;2023;-4.7;1956;7.3;15.6;1950
18 février;-13.4;1956;1.7;9.8;2023;-3.3;1956;7.4;15.9;1950
19 février;-13.0;1956;1.8;9.7;1989;-4.8;1956;7.5;13.9;1990
20 février;-13.5;1956;1.9;10.6;1990;-5.3;1948;7.7;17.8;1990
21 février;-17.8;1956;2.0;10.1;2016;-4.4;1948;7.8;16.2;2021
22 février;-12.2;1956;2.1;8.9;1997;-5.1;1956;7.9;15.2;2021
23 février;-15.6;1956;2.2;8.6;2021;-7.0;1956;8.0;17.1;2021
24 février;-15.1;1956;2.3;10.2;2025;-4.1;1956;8.1;19.0;2021
25 février;-12.9;1956;2.3;9.4;1997;-2.9;1956;8.1;17.7;2019
26 février;-11.7;1956;2.3;9.6;2002;-0.6;1962;8.2;19.0;2019
27 février;-9.3;1986;2.3;8.2;1945;-0.2;2018;8.3;18.4;2019
28 février;-7.7;2018;2.3;7.7;1987;-1.8;2018;8.4;18.9;1960
29 février;-3.2;1968;2.4;10.0;1960;-0.7;1968;8.5;17.4;1960
1 mars;-7.1;1955;2.5;8.7;1960;0.0;1946;8.7;17.8;1959
2 mars;-7.0;1947;2.6;9.8;1999;-0.8;1965;8.8;15.8;1959
3 mars;-6.9;1965;2.7;9.0;1977;-1.0;1987;9.0;16.8;2021
4 mars;-7.4;2005;2.8;9.2;1959;-0.9;1971;9.2;15.9;2025
5 mars;-8.0;1971;2.8;9.1;1991;-1.3;1971;9.4;16.7;1948
6 mars;-8.0;1971;2.9;9.1;1991;-4.0;1971;9.6;18.4;1948
7 mars;-8.5;1971;2.9;10.1;1991;-1.2;1971;9.7;17.9;2025
8 mars;-8.3;1971;2.9;11.8;1981;-0.8;1946;9.9;19.7;2025
9 mars;-8.8;1970;3.0;11.1;1981;1.1;1946;10.2;20.0;1948
10 mars;-7.8;1970;3.2;11.9;1981;0.3;1958;10.6;18.1;2014
11 mars;-8.7;1958;3.5;12.7;1981;-1.2;2013;10.9;17.5;2018
12 mars;-5.6;1958;3.7;8.8;1978;-0.7;2013;11.1;18.5;1997
13 mars;-10.5;2013;3.8;10.8;2024;2.8;1996;11.2;19.1;1957
14 mars;-3.8;1955;3.9;9.2;1957;3.9;1970;11.3;18.2;1948
15 mars;-4.8;1958;3.9;12.0;2024;1.6;1947;11.4;19.4;2012
16 mars;-4.8;1956;3.9;9.9;2004;2.9;1954;11.5;19.9;1972
17 mars;-4.7;1962;4.0;11.0;2005;0.6;2018;11.5;22.0;1990
18 mars;-3.7;1962;4.1;9.7;1957;0.5;2018;11.6;20.8;1990
19 mars;-3.1;1985;4.2;12.2;2010;2.6;2018;11.7;19.5;1972
20 mars;-5.2;1958;4.3;13.1;2010;1.3;1980;11.8;20.4;1972
21 mars;-3.6;1958;4.4;12.2;1990;1.7;1980;11.9;20.0;1972
22 mars;-3.3;1958;4.4;11.7;2025;1.7;1963;11.9;19.6;2022
23 mars;-4.0;1958;4.5;9.6;2023;4.0;2013;11.9;21.2;2012
24 mars;-3.0;1958;4.4;10.1;1994;1.6;2013;12.0;22.0;1945
