Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
PARIS;48.85;2.35;15/08/2026;5;SOLEIL VOILÉ;34.1;23.6
PARIS;48.85;2.35;16/08/2026;0;SOLEIL;30.6;20.1
BREST;48.39;-4.48;15/08/2026;0;SOLEIL;25;16.9
BREST;48.39;-4.48;16/08/2026;0;SOLEIL;25.6;15.6
RENNES;48.11;-1.67;15/08/2026;5;SOLEIL VOILÉ;30.1;18.2
RENNES;48.11;-1.67;16/08/2026;0;SOLEIL;31.1;17.9
CHERBOURG;49.63;-1.62;15/08/2026;0;SOLEIL;27.4;17.7
CHERBOURG;49.63;-1.62;16/08/2026;0;SOLEIL;26.4;17.6
ROUEN;49.44;1.1;15/08/2026;5;SOLEIL VOILÉ;31.6;17.2
ROUEN;49.44;1.1;16/08/2026;5;SOLEIL VOILÉ;30.4;17.1
LILLE;50.62;3.05;15/08/2026;0;SOLEIL;31.1;21.2
LILLE;50.62;3.05;16/08/2026;5;SOLEIL VOILÉ;27.2;17.6
BOULOGNE-SUR-MER;50.726;1.614;15/08/2026;0;SOLEIL;24.6;19.9
BOULOGNE-SUR-MER;50.726;1.614;16/08/2026;5;SOLEIL VOILÉ;24.6;17.7
REIMS;49.25;4.03;15/08/2026;7;PLUIE FAIBLE;36;22
REIMS;49.25;4.03;16/08/2026;0;SOLEIL;30.6;20.1
METZ;49.11;6.17;15/08/2026;2;NUAGEUX;37;21
METZ;49.11;6.17;16/08/2026;10;ORAGEUX;32.9;22.1
NANTES;47.21;-1.55;15/08/2026;5;SOLEIL VOILÉ;34;20.2
NANTES;47.21;-1.55;16/08/2026;0;SOLEIL;30;20.9
TOURS;47.39;0.68;15/08/2026;2;NUAGEUX;33.9;22.7
TOURS;47.39;0.68;16/08/2026;10;ORAGEUX;31.4;20.6
AUXERRE;47.79;3.57;15/08/2026;5;SOLEIL VOILÉ;38.1;21
AUXERRE;47.79;3.57;16/08/2026;10;ORAGEUX;33.6;21.9
CHAUMONT;48.11;5.14;15/08/2026;7;PLUIE FAIBLE;36.5;17.6
CHAUMONT;48.11;5.14;16/08/2026;10;ORAGEUX;32.1;20.1
STRASBOURG;48.57;7.75;15/08/2026;0;SOLEIL;36.6;21.6
STRASBOURG;48.57;7.75;16/08/2026;5;SOLEIL VOILÉ;32.4;22
BOURGES;47.08;2.39;15/08/2026;5;SOLEIL VOILÉ;36.9;24.9
BOURGES;47.08;2.39;16/08/2026;10;ORAGEUX;32.6;23.1
BELFORT;47.63;6.86;15/08/2026;0;SOLEIL;35.4;20.9
BELFORT;47.63;6.86;16/08/2026;10;ORAGEUX;33.6;18.9
LIMOGES;45.83;1.26;15/08/2026;5;SOLEIL VOILÉ;34.6;21.4
LIMOGES;45.83;1.26;16/08/2026;10;ORAGEUX;29.9;20
VICHY;46.12;3.42;15/08/2026;5;SOLEIL VOILÉ;37.9;22.1
VICHY;46.12;3.42;16/08/2026;10;ORAGEUX;33.4;21.6
LYON;45.76;4.83;15/08/2026;0;SOLEIL;39;25.5
LYON;45.76;4.83;16/08/2026;10;ORAGEUX;34.4;25.7
PONTARLIER;46.9;6.35;15/08/2026;7;PLUIE FAIBLE;32.1;17
PONTARLIER;46.9;6.35;16/08/2026;10;ORAGEUX;28.6;16.1
LA ROCHELLE;46.16;-1.15;15/08/2026;2;NUAGEUX;27.1;21.7
