Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
PARIS;48.85;2.35;15/08/2026;00:00;28.1;2;NUAGEUX;3.3;10.4;0
PARIS;48.85;2.35;15/08/2026;01:00;26.6;2;NUAGEUX;2.1;4.7;0
PARIS;48.85;2.35;15/08/2026;02:00;25.2;2;NUAGEUX;3.0;3.6;0
PARIS;48.85;2.35;15/08/2026;03:00;24.6;2;NUAGEUX;2.4;5.8;0
PARIS;48.85;2.35;15/08/2026;04:00;24.1;2;NUAGEUX;2.9;5.0;0
PARIS;48.85;2.35;15/08/2026;05:00;23.6;2;NUAGEUX;3.4;6.5;0
PARIS;48.85;2.35;15/08/2026;06:00;23.6;2;NUAGEUX;3.1;5.8;0
PARIS;48.85;2.35;15/08/2026;07:00;25.4;5;SOLEIL VOILÉ;2.3;5.4;0
PARIS;48.85;2.35;15/08/2026;08:00;27.1;5;SOLEIL VOILÉ;1.3;5.4;0
PARIS;48.85;2.35;15/08/2026;09:00;28.6;5;SOLEIL VOILÉ;1.8;5.0;0
PARIS;48.85;2.35;15/08/2026;10:00;29.7;5;SOLEIL VOILÉ;2.7;8.6;0
PARIS;48.85;2.35;15/08/2026;11:00;31.6;5;SOLEIL VOILÉ;0.8;14.0;0
PARIS;48.85;2.35;15/08/2026;12:00;32.1;5;SOLEIL VOILÉ;1.9;9.7;0
PARIS;48.85;2.35;15/08/2026;13:00;33.1;5;SOLEIL VOILÉ;2.2;8.3;0
PARIS;48.85;2.35;15/08/2026;14:00;33.2;5;SOLEIL VOILÉ;3.5;9.7;0
PARIS;48.85;2.35;15/08/2026;15:00;33.6;5;SOLEIL VOILÉ;3.6;11.9;0
PARIS;48.85;2.35;15/08/2026;16:00;34.1;5;SOLEIL VOILÉ;2.4;10.1;0
PARIS;48.85;2.35;15/08/2026;17:00;32.9;5;SOLEIL VOILÉ;4.0;8.3;0
PARIS;48.85;2.35;15/08/2026;18:00;31.9;5;SOLEIL VOILÉ;0.4;5.8;0
PARIS;48.85;2.35;15/08/2026;19:00;30;5;SOLEIL VOILÉ;5.1;9.0;0
PARIS;48.85;2.35;15/08/2026;20:00;28.9;5;SOLEIL VOILÉ;5.4;11.5;0
PARIS;48.85;2.35;15/08/2026;21:00;25.5;5;SOLEIL VOILÉ;9.4;36.7;0
PARIS;48.85;2.35;15/08/2026;22:00;24.2;5;SOLEIL VOILÉ;7.7;18.7;0
PARIS;48.85;2.35;15/08/2026;23:00;25.1;5;SOLEIL VOILÉ;9.8;20.5;0
PARIS;48.85;2.35;16/08/2026;00:00;24.9;5;SOLEIL VOILÉ;8.8;20.9;0
PARIS;48.85;2.35;16/08/2026;01:00;24.9;5;SOLEIL VOILÉ;10.0;20.2;0
PARIS;48.85;2.35;16/08/2026;02:00;21.7;0;SOLEIL;9.4;24.5;0
PARIS;48.85;2.35;16/08/2026;03:00;21.7;0;SOLEIL;7.9;20.2;0
PARIS;48.85;2.35;16/08/2026;04:00;21.7;0;SOLEIL;9.9;20.2;0
PARIS;48.85;2.35;16/08/2026;05:00;20.6;0;SOLEIL;7.9;35.3;0
PARIS;48.85;2.35;16/08/2026;06:00;20.6;0;SOLEIL;2.2;22.7;0
PARIS;48.85;2.35;16/08/2026;07:00;20.6;0;SOLEIL;10.5;22.0;0
PARIS;48.85;2.35;16/08/2026;08:00;25.1;0;SOLEIL;6.9;25.6;0
PARIS;48.85;2.35;16/08/2026;09:00;25.1;0;SOLEIL;7.7;28.4;0
PARIS;48.85;2.35;16/08/2026;10:00;25.1;0;SOLEIL;7.4;19.1;0
PARIS;48.85;2.35;16/08/2026;11:00;27.6;0;SOLEIL;6.2;16.6;0
PARIS;48.85;2.35;16/08/2026;12:00;27.6;0;SOLEIL;6.2;15.8;0
PARIS;48.85;2.35;16/08/2026;13:00;27.6;0;SOLEIL;8.7;20.5;0
PARIS;48.85;2.35;16/08/2026;14:00;29.6;10;ORAGEUX;9.7;22.7;0
PARIS;48.85;2.35;16/08/2026;15:00;29.6;10;ORAGEUX;11.3;25.9;0
PARIS;48.85;2.35;16/08/2026;16:00;29.6;10;ORAGEUX;11.3;25.9;0
PARIS;48.85;2.35;16/08/2026;17:00;27.9;5;SOLEIL VOILÉ;10.8;26.6;0
PARIS;48.85;2.35;16/08/2026;18:00;27.9;5;SOLEIL VOILÉ;7.2;22.3;0
PARIS;48.85;2.35;16/08/2026;19:00;27.9;5;SOLEIL VOILÉ;15.6;36.0;0
PARIS;48.85;2.35;16/08/2026;20:00;25.6;0;SOLEIL;14.5;33.1;0
PARIS;48.85;2.35;16/08/2026;21:00;25.6;0;SOLEIL;13.2;31.3;0
PARIS;48.85;2.35;16/08/2026;22:00;25.6;0;SOLEIL;13.0;28.8;0
PARIS;48.85;2.35;16/08/2026;23:00;23.1;0;SOLEIL;11.9;29.2;0
BREST;48.39;-4.48;15/08/2026;00:00;18.6;5;SOLEIL VOILÉ;14.8;27.4;0
BREST;48.39;-4.48;15/08/2026;01:00;18.1;0;SOLEIL;14.0;24.5;0
BREST;48.39;-4.48;15/08/2026;02:00;17.6;2;NUAGEUX;12.6;25.2;0
BREST;48.39;-4.48;15/08/2026;03:00;17.6;0;SOLEIL;10.8;25.9;0
BREST;48.39;-4.48;15/08/2026;04:00;17.6;0;SOLEIL;9.9;22.0;0
BREST;48.39;-4.48;15/08/2026;05:00;17.4;0;SOLEIL;9.4;19.1;0
BREST;48.39;-4.48;15/08/2026;06:00;18;2;NUAGEUX;12.6;20.9;0
BREST;48.39;-4.48;15/08/2026;07:00;19.6;0;SOLEIL;11.6;19.8;0
BREST;48.39;-4.48;15/08/2026;08:00;20.9;0;SOLEIL;14.6;25.6;0
BREST;48.39;-4.48;15/08/2026;09:00;21.9;0;SOLEIL;15.9;30.6;0
BREST;48.39;-4.48;15/08/2026;10:00;23.4;0;SOLEIL;13.3;26.6;0
BREST;48.39;-4.48;15/08/2026;11:00;23.5;0;SOLEIL;14.1;27.0;0
BREST;48.39;-4.48;15/08/2026;12:00;24;0;SOLEIL;16.2;29.5;0
BREST;48.39;-4.48;15/08/2026;13:00;24.1;0;SOLEIL;16.3;32.0;0
